"Variable","Annotation","Modifier","Comment"
"[TAG = ""JobService""]","[]","[PRIVATE, STATIC, FINAL]","Optional.empty"
"[PERMISSION_BIND = ""android.permission.BIND_JOB_SERVICE""]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * Job services must be protected with this permission:
 *
 * <pre class=""prettyprint"">
 * <service android:name=""MyJobService""
 * android:permission=""android.permission.BIND_JOB_SERVICE"" >
 * ...
 * </service>
 * </pre>
 *
 * <p>If a job service is declared in the manifest but not protected with this
 * permission, that service will be ignored by the OS.
 */
]"
"[MSG_EXECUTE_JOB = 0]","[]","[PRIVATE, FINAL]","Optional[/**
 * Identifier for a message that will result in a call to
 * {@link #onStartJob(android.app.job.JobParameters)}.
 */
]"
"[MSG_STOP_JOB = 1]","[]","[PRIVATE, FINAL]","Optional[/**
 * Message that will result in a call to {@link #onStopJob(android.app.job.JobParameters)}.
 */
]"
"[MSG_JOB_FINISHED = 2]","[]","[PRIVATE, FINAL]","Optional[/**
 * Message that the client has completed execution of this job.
 */
]"
"[mHandlerLock = new Object()]","[]","[PRIVATE, FINAL]","Optional[/**
 * Lock object for {@link #mHandler}.
 */
]"
"[mHandler]","[@GuardedBy(""mHandlerLock"")]","[]","Optional[/**
 * Handler we post jobs to. Responsible for calling into the client logic, and handling the
 * callback to the system.
 */
]"
"[mBinder = new IJobService.Stub() {

    @Override
    public void startJob(JobParameters jobParams) {
        ensureHandler();
        Message m = Message.obtain(mHandler, MSG_EXECUTE_JOB, jobParams);
        m.sendToTarget();
    }

    @Override
    public void stopJob(JobParameters jobParams) {
        ensureHandler();
        Message m = Message.obtain(mHandler, MSG_STOP_JOB, jobParams);
        m.sendToTarget();
    }
}]","[]","[]","Optional[/**
 * Binder for this service.
 */
]"
"[ERROR_CLIENT = 5]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * Other client side errors.
 */
]"
"[ERROR_SPEECH_TIMEOUT = 6]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * No speech input
 */
]"
"[ERROR_NO_MATCH = 7]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * No recognition result matched.
 */
]"
"[ERROR_RECOGNIZER_BUSY = 8]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * RecognitionService busy.
 */
]"
"[ERROR_INSUFFICIENT_PERMISSIONS = 9]","[]","[PUBLIC, STATIC, FINAL]","Optional[/**
 * Insufficient permissions
 */
]"
"[MSG_START = 1]","[]","[PRIVATE, STATIC, FINAL]","Optional[/**
 * action codes
 */
]"
"[MSG_STOP = 2]","[]","[PRIVATE, STATIC, FINAL]","Optional.empty"
"[MSG_CANCEL = 3]","[]","[PRIVATE, STATIC, FINAL]","Optional.empty"
"[MSG_CHANGE_LISTENER = 4]","[]","[PRIVATE, STATIC, FINAL]","Optional.empty"
"[mService]","[]","[PRIVATE]","Optional[/**
 * The actual RecognitionService endpoint
 */
]"
"[mConnection]","[]","[PRIVATE]","Optional[/**
 * The connection to the actual service
 */
]"
"[mContext]","[]","[PRIVATE, FINAL]","Optional[/**
 * Context with which the manager was created
 */
]"
"[mServiceComponent]","[]","[PRIVATE, FINAL]","Optional[/**
 * Component to direct service intent to
 */
]"
"[mHandler = new Handler() {

    @Override
    public void handleMessage(Message msg) {
        switch(msg.what) {
            case MSG_START:
                handleStartListening((Intent) msg.obj);
                break;
            case MSG_STOP:
                handleStopMessage();
                break;
            case MSG_CANCEL:
                handleCancelMessage();
                break;
            case MSG_CHANGE_LISTENER:
                handleChangeListener((RecognitionListener) msg.obj);
                break;
        }
    }
}]","[]","[PRIVATE]","Optional[/**
 * Handler that will execute the main tasks
 */
]"
