"Variable","Annotation","Modifier","Comment"
"[TAG = ""BackupAgentHelper""]","[]","[STATIC, FINAL]","Optional.empty"
"[mDispatcher = new BackupHelperDispatcher()]","[]","[]","Optional.empty"
"[ZOOM_CONTROLS_TOUCH_PADDING = 20]","[]","[PRIVATE, STATIC, FINAL]","Optional.empty"
"[mTouchPaddingScaledSq]","[]","[PRIVATE]","Optional.empty"
"[mContext]","[]","[PRIVATE, FINAL]","Optional.empty"
"[mWindowManager]","[]","[PRIVATE, FINAL]","Optional.empty"
"[mAutoDismissControls = true]","[]","[PRIVATE]","Optional.empty"
"[mOwnerView]","[]","[PRIVATE, FINAL]","Optional[/**
 * The view that is being zoomed by this zoom controller.
 */
]"
"[mOwnerViewRawLocation = new int[2]]","[]","[PRIVATE, FINAL]","Optional[/**
 * The location of the owner view on the screen. This is recalculated
 * each time the zoom controller is shown.
 */
]"
"[mContainer]","[]","[PRIVATE, FINAL]","Optional[/**
 * The container that is added as a window.
 */
]"
"[mContainerLayoutParams]","[]","[PRIVATE]","Optional.empty"
"[mContainerRawLocation = new int[2]]","[]","[PRIVATE, FINAL]","Optional.empty"
"[mControls]","[]","[PRIVATE]","Optional.empty"
"[mTouchTargetView]","[]","[PRIVATE]","Optional[/**
 * The view (or null) that should receive touch events. This will get set if
 * the touch down hits the container. It will be reset on the touch up.
 */
]"
"[mTouchTargetWindowLocation = new int[2]]","[]","[PRIVATE, FINAL]","Optional[/**
 * The {@link #mTouchTargetView}'s location in window, set on touch down.
 */
]"
"[mReleaseTouchListenerOnUp]","[]","[PRIVATE]","Optional[/**
 * If the zoom controller is dismissed but the user is still in a touch
 * interaction, we set this to true. This will ignore all touch events until
 * up/cancel, and then set the owner's touch listener to null.
 * <p>
 * Otherwise, the owner view would get mismatched events (i.e., touch move
 * even though it never got the touch down.)
 */
]"
"[mIsVisible]","[]","[PRIVATE]","Optional[/**
 * Whether the container has been added to the window manager.
 */
]"
"[mTempRect = new Rect()]","[]","[PRIVATE, FINAL]","Optional.empty"
"[mTempIntArray = new int[2]]","[]","[PRIVATE, FINAL]","Optional.empty"
"[mCallback]","[]","[PRIVATE]","Optional.empty"
